Area,Location,Price,Room,Bathroom,House Type,Square Feet
Kuala-Lumpur,     Sungai Besi    ,    RM 1 180 000     , 5 Bedrooms , 5 Bathrooms , Houses ,3571 sq.ft
Kuala-Lumpur,     Sri Petaling    ,    RM 1 200 000     , 6 Bedrooms , 4 Bathrooms , Houses ,3300 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 150 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,770 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 388 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Salak Selatan    ,    RM 598 000     , 2 Bedrooms , 2 Bathrooms , Apartments ,1025 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 529 999     , 4 Bedrooms , 2 Bathrooms , Houses ,1400 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,650 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 328 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,950 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 410 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1089 sq.ft
Kuala-Lumpur,     Sungai Besi    ,    RM 540 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,900 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 269 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1050 sq.ft
Kuala-Lumpur,     Sentul    ,    RM 358 000     , 3 Bedrooms , 2 Bathrooms , Houses ,600 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 278 000     , 2 Bedrooms , 1 Bathroom , Apartments ,600 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 265 000     , 2 Bedrooms , 1 Bathroom , Apartments ,592 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 259 000     , 2 Bedrooms , 1 Bathroom , Apartments ,592 sq.ft
Kuala-Lumpur,     Bukit Jalil    ,    RM 295 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,909 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 2 000 000     , 6 Bedrooms , 6 Bathrooms , Houses ,3560 sq.ft
Kuala-Lumpur,     Jalan Ampang    ,    RM 590 000     , 4 Bedrooms , 3 Bathrooms , Apartments ,1471 sq.ft
Kuala-Lumpur,     Pandan Indah    ,    RM 200 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,790 sq.ft
Kuala-Lumpur,     Titiwangsa    ,    RM 4 800 000     , 7 Bedrooms , 7 Bathrooms , Houses ,8396 sq.ft
Kuala-Lumpur,     Gombak    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1000 sq.ft
Kuala-Lumpur,     Desa Petaling    ,    RM 230 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,850 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 320 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,930 sq.ft
Kuala-Lumpur,     Bandar Damai Perdana    ,    RM 318 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,828 sq.ft
Kuala-Lumpur,     Setapak    ,    RM 450 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1051 sq.ft
Kuala-Lumpur,     Ampang Hilir    ,    RM 430 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,1166 sq.ft
Kuala-Lumpur,     KL City    ,    RM 360 000     , 1 Bedroom , 1 Bathroom , Apartments ,466 sq.ft
Kuala-Lumpur,     Sri Hartamas    ,    RM 850 000     , 3 Bedrooms , 3 Bathrooms , Houses ,1475 sq.ft
Kuala-Lumpur,     Taman Desa    ,    RM 378 000     , 3 Bedrooms , 2 Bathrooms , Apartments ,920 sq.ft
Kuala-Lumpur,     Cheras    ,    RM 1 050 000     , 5 Bedrooms , 3 Bathrooms , Houses ,2350 sq.ft
